Instance, Avg Running Time (s), Number of Iterations, Value
input/m50.in,6.75734e-06,739937,276.333333333333
input/m58.in,6.77495894375648e-06,738012,646
input/m67.in,9.86498607066498e-06,506844,1562
input/m78.in,1.68309641064615e-05,297073,1076
input/m91.in,9.7169401009792e-06,514566,1293
input/m106.in,1.17121848837952e-05,426906,1808
input/m124.in,1.97366619825035e-05,253336,3274
input/m145.in,3.85792953921292e-05,129604,2966
input/m169.in,2.01747775737977e-05,247835,3272
input/m197.in,2.25458648786452e-05,221771,4313
input/m230.in,3.60049686757404e-05,138870,8113
input/m269.in,7.80313997222195e-05,64077,6770
input/m314.in,3.58311070343392e-05,139544,15317
input/m367.in,4.41436252394607e-05,113267,11029
input/m429.in,5.27004827353429e-05,94876,18886
input/m501.in,0.000158907039567783,31465,18225
input/m586.in,8.25620944171784e-05,60561,23862
input/m685.in,0.000108697499999959,46000,29748
input/m801.in,0.000143150304904228,34929,46388
input/m937.in,0.000334388818297381,14953,48627
input/m1096.in,0.00014917181300158,33519,63723
input/m1282.in,0.000190110033839025,26301,80086
input/m1499.in,0.000197771853492581,25282,116121
input/m1753.in,0.000660751321353108,7568,131250
input/m2051.in,0.000310448342232773,16106,167865
input/m2399.in,0.000385311320027769,12977,216249
input/m2806.in,0.000431843941618542,11579,304764
input/m3283.in,0.00139331735859581,3589,354401
input/m3841.in,0.000598844790419347,8350,456215
input/m4493.in,0.000685797010012609,7291,578835
input/m5256.in,0.000813971675077466,6143,805600
input/m6149.in,0.00282436420101596,1771,955114
input/m7194.in,0.00119152227781736,4197,1240551
input/m8416.in,0.00124181524708225,4027,1592267
input/m9846.in,0.00157235251572338,3180,2157401
input/m11519.in,0.00566629331823347,883,2657385
input/m13477.in,0.0022624705882355,2210,3379083
input/m15768.in,0.00237123281175889,2109,4344096
input/m18448.in,0.00320585897435846,1560,5751239
input/m21584.in,0.0110393311258283,453,7164528
input/m25253.in,0.00406319821283508,1231,9172388
input/m29546.in,0.00476521047619036,1050,11864606
input/m34568.in,0.0053654248927038,932,15593477
input/m40444.in,0.0223249911111119,225,19668481
input/m47319.in,0.00823039473684068,608,25304273
input/m55363.in,0.00913502554744435,548,32633200
input/m64774.in,0.0103797178423236,482,42518422
input/m75785.in,0.0449350089285718,112,53890371
input/m88668.in,0.014117538028169,355,69476973
input/m103741.in,0.0159351910828042,314,1832.24752475248